1000 7999
348 349 59
349 350 58
350 351 35
351 352 60
352 353 65
353 354 75
354 355 59
355 356 39
356 357 93
357 358 41
358 359 32
359 360 18
360 361 75
361 362 79
362 363 76
363 364 65
364 365 79
365 366 42
366 367 40
367 368 46
368 369 32
369 370 21
370 371 55
371 372 12
372 373 61
373 374 69
374 375 23
375 376 5
376 377 80
377 378 16
378 379 44
379 380 51
380 381 26
381 382 46
382 383 42
383 384 80
384 385 3
385 386 10
386 387 34
387 388 68
388 389 15
389 390 43
390 391 72
391 392 34
392 393 42
393 394 26
394 395 4
395 396 82
396 397 22
397 398 17
398 399 3
399 400 8
400 401 23
401 402 6
402 403 90
403 404 62
404 405 73
405 406 38
406 407 79
407 408 25
408 409 66
409 410 6
410 411 11
411 412 20
412 413 10
413 414 64
414 415 4
415 416 85
416 417 31
417 418 99
418 419 67
419 420 55
420 421 69
421 422 84
422 423 53
423 424 26
424 425 8
425 426 49
426 427 100
427 428 70
428 429 67
429 430 52
430 431 77
431 432 21
432 433 30
433 434 29
434 435 10
435 436 83
436 437 43
437 438 9
438 439 38
439 440 81
440 441 97
441 442 75
442 443 100
443 444 64
444 445 85
445 446 65
446 447 57
447 448 80
448 449 82
449 450 36
450 451 54
451 452 12
452 453 16
453 454 57
454 455 43
455 456 96
456 457 26
457 458 44
458 459 15
459 460 9
460 461 42
461 462 87
462 463 24
463 464 91
464 465 21
465 466 61
466 467 6
467 468 69
468 469 56
469 470 33
470 471 100
471 472 62
472 473 49
473 474 81
474 475 22
475 476 72
476 477 12
477 478 20
478 479 43
479 480 25
480 481 3
481 482 52
482 483 24
483 484 75
484 485 24
485 486 62
486 487 14
487 488 21
488 489 42
489 490 51
490 491 33
491 492 4
492 493 18
493 494 39
494 495 25
495 496 72
496 497 89
497 498 65
498 499 62
499 500 71
500 501 51
501 502 59
502 503 1
503 504 84
504 505 55
505 506 82
506 507 50
507 508 6
508 509 74
509 510 82
510 511 5
511 512 96
512 513 10
513 514 70
514 515 64
515 516 37
516 517 28
517 518 90
518 519 94
519 520 24
520 521 6
521 522 42
522 523 31
523 524 42
524 525 7
525 526 100
526 527 49
527 528 85
528 529 32
529 530 47
530 531 39
531 532 25
532 533 13
533 534 43
534 535 84
535 536 18
536 537 73
537 538 64
538 539 3
539 540 73
540 541 100
541 542 66
542 543 71
543 544 12
544 545 63
545 546 72
546 547 38
547 548 9
548 549 1
549 550 2
550 551 23
551 552 51
552 553 48
553 554 81
554 555 52
555 556 43
556 557 35
557 558 77
558 559 86
559 560 94
560 561 56
561 562 46
562 563 44
563 564 20
564 565 2
565 566 32
566 567 55
567 568 14
568 569 41
569 570 73
570 571 66
571 572 1
572 573 74
573 574 9
574 575 100
575 576 2
576 577 18
577 578 45
578 579 91
579 580 7
580 581 47
581 582 89
582 583 52
583 584 56
584 585 98
585 586 20
586 587 41
587 588 35
588 589 59
589 590 7
590 591 57
591 592 78
592 593 48
593 594 38
594 595 2
595 596 2
596 597 30
597 598 46
598 599 73
599 600 14
600 601 66
601 602 88
602 603 45
603 604 22
604 605 15
605 606 47
606 607 90
607 608 34
608 609 36
609 610 81
610 611 27
611 612 87
612 613 81
613 614 95
614 615 7
615 616 40
616 617 20
617 618 8
618 619 97
619 620 75
620 621 46
621 622 49
622 623 62
623 624 3
624 625 52
625 626 46
626 627 28
627 628 82
628 629 96
629 630 74
630 631 97
631 632 63
632 633 52
633 634 68
634 635 43
635 636 97
636 637 96
637 638 35
638 639 75
639 640 68
640 641 23
641 642 19
642 643 32
643 644 26
644 645 56
645 646 94
646 647 86
647 648 55
648 649 24
649 650 91
650 651 5
651 652 38
652 653 22
653 654 64
654 655 32
655 656 11
656 657 24
657 658 20
658 659 90
659 660 61
660 661 13
661 662 31
662 663 41
663 664 9
664 665 28
665 666 71
666 667 17
667 668 69
668 669 28
669 670 21
670 671 68
671 672 100
672 673 97
673 674 37
674 675 40
675 676 7
676 677 12
677 678 39
678 679 23
679 680 93
680 681 27
681 682 26
682 683 8
683 684 16
684 685 24
685 686 15
686 687 65
687 688 7
688 689 64
689 690 43
690 691 77
691 692 33
692 693 92
693 694 34
694 695 99
695 696 55
696 697 48
697 698 12
698 699 70
699 700 51
700 701 61
701 702 6
702 703 41
703 704 65
704 705 65
705 706 38
706 707 63
707 708 66
708 709 28
709 710 1
710 711 92
711 712 57
712 713 54
713 714 85
714 715 26
715 716 18
716 717 52
717 718 3
718 719 32
719 720 98
720 721 41
721 722 95
722 723 60
723 724 33
724 725 10
725 726 27
726 727 92
727 728 46
728 729 6
729 730 15
730 731 59
731 732 73
732 733 13
733 734 46
734 735 19
735 736 20
736 737 19
737 738 74
738 739 72
739 740 40
740 741 5
741 742 58
742 743 18
743 744 28
744 745 55
745 746 25
746 747 24
747 748 94
748 749 93
749 750 35
750 751 16
751 752 34
752 753 37
753 754 20
754 755 56
755 756 17
756 757 99
757 758 73
758 759 96
759 760 6
760 761 17
761 762 11
762 763 46
763 764 9
764 765 28
765 766 100
766 767 44
767 768 9
768 769 75
769 770 29
770 771 15
771 772 8
772 773 75
773 774 82
774 775 93
775 776 30
776 777 72
777 778 84
778 779 93
779 780 54
780 781 24
781 782 68
782 783 11
783 784 25
784 785 98
785 786 98
786 787 80
787 788 57
788 789 67
789 790 9
790 791 35
791 792 15
792 793 53
793 794 2
794 795 22
795 796 23
796 797 87
797 798 60
798 799 56
799 800 92
800 801 53
801 802 83
802 803 57
803 804 94
804 805 9
805 806 30
806 807 21
807 808 11
808 809 96
809 810 19
810 811 13
811 812 2
812 813 65
813 814 77
814 815 51
815 816 68
816 817 95
817 818 37
818 819 5
819 820 90
820 821 29
821 822 58
822 823 77
823 824 37
824 825 62
825 826 99
826 827 60
827 828 21
828 829 6
829 830 40
830 831 53
831 832 4
832 833 6
833 834 88
834 835 21
835 836 34
836 837 20
837 838 21
838 839 54
839 840 38
840 841 47
841 842 99
842 843 17
843 844 88
844 845 11
845 846 19
846 847 77
847 848 35
848 849 84
849 850 61
850 851 22
851 852 47
852 853 26
853 854 56
854 855 54
855 856 79
856 857 84
857 858 10
858 859 43
859 860 21
860 861 69
861 862 93
862 863 2
863 864 46
864 865 49
865 866 72
866 867 48
867 868 69
868 869 24
869 870 32
870 871 80
871 872 25
872 873 42
873 874 38
874 875 36
875 876 2
876 877 35
877 878 10
878 879 97
879 880 18
880 881 45
881 882 62
882 883 27
883 884 85
884 885 9
885 886 89
886 887 46
887 888 59
888 889 43
889 890 55
890 891 32
891 892 86
892 893 91
893 894 29
894 895 95
895 896 42
896 897 21
897 898 47
898 899 9
899 900 62
900 901 20
901 902 63
902 903 7
903 904 38
904 905 15
905 906 65
906 907 47
907 908 48
908 909 48
909 910 89
910 911 48
911 912 96
912 913 55
913 914 60
914 915 89
915 916 50
916 917 59
917 918 86
918 919 57
919 920 6
920 921 56
921 922 38
922 923 58
923 924 72
924 925 49
925 926 20
926 927 3
927 928 72
928 929 16
929 930 25
930 931 92
931 932 69
932 933 89
933 934 41
934 935 14
935 936 2
936 937 8
937 938 85
938 939 97
939 940 4
940 941 40
941 942 24
942 943 76
943 944 14
944 945 92
945 946 15
946 947 83
947 948 84
948 949 16
949 950 30
950 951 42
951 952 15
952 953 90
953 954 83
954 955 29
955 956 36
956 957 67
957 958 49
958 959 67
959 960 84
960 961 90
961 962 94
962 963 26
963 964 3
964 965 78
965 966 22
966 967 31
967 968 12
968 969 32
969 970 64
970 971 91
971 972 68
972 973 76
973 974 64
974 975 13
975 976 68
976 977 30
977 978 7
978 979 93
979 980 26
980 981 39
981 982 78
982 983 15
983 984 81
984 985 5
985 986 42
986 987 50
987 988 53
988 989 60
989 990 5
990 991 84
991 992 33
992 993 17
993 994 38
994 995 86
995 996 51
996 997 89
997 998 99
998 999 92
999 1000 46
111 148 44
91 127 17
33 106 8
420 308 1
505 797 82
839 53 11
728 127 17
964 848 84
158 6 5
309 24 52
63 642 21
292 904 33
547 114 75
195 694 75
151 448 2
845 440 98
42 950 47
6 221 68
324 509 54
156 782 53
7 548 54
781 110 87
636 675 37
432 622 45
720 834 35
191 973 78
545 966 8
895 796 83
89 344 28
388 224 89
865 876 3
440 550 67
411 791 31
184 472 90
992 98 15
306 435 98
831 725 66
507 272 6
335 505 97
314 636 100
476 973 99
917 608 15
315 631 58
866 470 52
994 364 71
687 205 15
980 146 72
693 593 72
384 848 42
764 888 2
504 838 78
9 560 4
394 642 81
174 809 6
468 431 16
548 981 91
472 666 37
494 407 23
470 786 14
967 632 13
60 825 28
338 710 55
522 598 20
168 60 72
867 74 73
530 69 31
11 481 38
534 429 75
179 13 77
408 966 39
726 87 83
448 996 36
583 782 11
258 472 45
452 438 90
532 127 12
297 148 58
981 112 58
522 544 95
293 145 23
478 326 69
603 243 12
337 909 87
360 634 87
520 221 36
569 410 5
247 197 80
776 369 99
354 427 45
775 50 82
263 753 84
223 571 37
846 281 24
252 713 64
350 288 66
415 115 73
678 86 36
262 653 92
516 309 61
224 335 43
659 435 89
768 130 56
717 199 10
708 332 31
237 107 67
284 504 9
850 985 45
166 263 20
336 943 83
369 536 53
840 1000 24
329 937 89
607 631 86
414 185 49
875 532 36
388 868 80
544 293 40
917 819 89
824 38 33
491 575 9
283 227 71
684 527 84
45 97 40
696 523 72
600 260 85
757 657 7
887 851 84
256 872 53
917 903 86
661 683 2
487 595 99
753 929 60
513 136 51
482 183 37
96 173 31
808 352 60
8 977 1
174 49 93
704 41 74
689 894 49
180 925 23
281 255 87
962 74 10
824 146 42
764 332 64
252 6 15
509 27 94
411 209 64
409 291 74
692 501 66
555 343 85
8 161 37
222 338 65
27 643 14
600 352 70
925 551 21
104 718 70
177 911 30
489 686 97
535 930 67
349 631 98
743 318 5
172 399 52
113 887 16
907 153 33
92 70 68
753 635 17
757 379 41
948 278 55
267 625 6
50 768 6
369 400 71
907 346 35
243 922 19
870 962 8
561 904 87
409 279 64
139 445 66
165 639 2
135 263 12
137 125 29
527 868 89
134 28 14
900 706 19
427 952 30
546 76 67
740 230 91
530 838 97
875 30 58
609 302 5
71 592 21
287 803 59
650 691 20
440 554 38
814 92 21
64 350 83
669 739 61
29 327 96
793 985 73
296 365 4
74 771 89
287 453 85
940 881 69
931 421 41
242 213 66
121 860 82
847 629 17
724 968 79
873 399 58
992 478 36
555 15 50
175 466 13
169 886 17
597 240 69
695 106 76
532 466 48
213 484 93
816 423 50
416 801 14
425 685 36
354 755 3
507 205 43
406 218 69
842 765 46
456 253 68
351 843 79
746 526 71
240 216 25
470 978 37
831 977 15
741 159 41
772 877 80
132 197 12
654 594 58
468 725 52
967 161 85
227 347 23
774 371 64
216 758 16
151 527 12
167 865 19
232 643 4
649 273 98
975 718 78
966 826 31
226 445 42
138 622 72
635 452 82
641 338 44
97 376 61
495 245 4
47 888 51
759 762 40
491 432 78
850 145 38
276 948 52
258 120 98
512 518 44
565 927 84
791 65 44
890 913 4
710 147 69
337 280 75
102 125 46
437 214 9
599 987 54
237 24 12
919 366 66
665 809 23
728 157 95
27 465 85
687 66 2
169 627 49
487 582 53
988 201 54
491 255 76
947 996 74
346 118 64
10 596 37
495 868 7
267 214 97
519 379 13
462 174 1
41 883 89
408 934 37
933 787 53
303 952 31
137 302 97
229 872 34
414 110 73
659 789 75
848 181 71
915 749 98
941 568 67
90 713 29
49 273 9
859 132 14
795 708 29
84 374 85
697 90 48
584 563 61
521 876 41
93 99 93
967 620 29
945 312 63
250 485 75
199 715 34
592 961 82
164 577 83
480 329 72
101 846 87
962 368 16
902 604 70
497 437 70
152 687 33
34 442 58
697 836 99
853 673 20
969 283 1
788 524 56
669 625 32
213 255 65
510 418 43
511 320 59
647 898 100
818 101 7
299 158 55
1000 82 13
800 505 47
405 90 90
536 199 84
564 604 14
798 173 88
818 959 55
564 58 32
220 341 37
789 492 28
791 346 54
264 663 64
478 541 73
394 480 13
62 75 62
368 697 17
128 841 65
16 449 99
41 598 39
302 905 75
956 552 82
686 959 76
37 655 70
26 948 59
558 815 61
186 269 72
997 275 13
64 310 55
609 156 30
615 233 27
543 384 23
230 951 3
817 948 13
217 375 27
139 298 56
896 979 57
138 929 65
467 859 58
982 554 15
914 464 89
341 164 90
43 213 50
263 604 77
585 703 87
651 995 9
354 408 38
113 484 7
822 61 34
843 503 72
578 100 37
815 589 48
89 164 60
247 157 53
198 977 71
229 463 72
86 778 76
531 663 7
960 629 16
90 68 69
463 195 68
942 238 31
778 390 86
611 743 51
278 385 68
361 814 89
779 113 97
106 760 44
973 697 95
45 774 19
852 212 82
6 791 98
244 9 30
154 795 60
976 894 18
180 419 60
958 964 90
138 344 58
6 292 85
18 479 29
416 448 31
868 508 6
371 328 19
371 786 32
39 887 31
557 552 92
727 763 35
798 496 54
462 217 57
34 787 31
123 122 39
369 393 26
481 42 64
848 92 92
21 701 16
411 181 38
56 344 8
605 572 11
329 499 27
351 490 71
75 204 31
745 102 55
637 890 72
52 466 87
231 465 64
853 700 62
505 275 3
841 45 63
651 290 94
836 887 13
80 394 89
605 663 4
210 853 100
63 555 98
326 115 31
172 535 71
933 622 50
290 516 37
823 857 54
869 645 17
867 422 92
229 449 25
480 961 42
760 78 49
568 114 26
685 700 100
117 292 17
196 22 49
704 591 89
690 347 34
144 162 87
22 26 32
319 378 68
10 718 98
858 618 61
909 928 42
951 797 3
155 341 60
345 854 14
339 812 98
308 69 90
487 590 45
141 212 51
910 97 17
143 713 25
663 888 10
583 328 3
484 785 20
365 69 41
683 591 69
152 934 70
812 419 31
852 932 38
216 460 26
274 452 4
792 255 99
338 156 63
137 520 59
415 837 81
320 935 86
410 290 4
713 909 69
563 536 97
722 325 25
892 773 11
957 810 36
559 783 39
526 92 87
727 209 48
799 593 5
676 861 55
213 749 49
222 145 86
741 878 31
633 47 5
585 448 87
892 511 86
898 375 73
963 108 59
95 212 53
13 416 83
283 67 75
207 391 26
256 301 99
131 520 67
361 256 48
542 337 38
207 7 85
818 781 46
494 133 11
277 181 89
5 460 31
993 886 65
321 192 74
70 228 91
992 911 88
341 771 95
917 637 16
272 799 16
153 691 63
404 216 73
551 477 47
783 859 5
308 117 19
947 307 63
37 78 19
312 687 57
322 329 86
4 316 95
778 660 43
309 497 92
394 868 80
264 788 16
6 676 100
344 664 95
310 375 30
101 573 19
979 346 33
471 683 80
897 748 98
844 433 8
674 358 21
164 871 40
214 528 11
770 607 93
109 31 68
630 983 11
667 860 7
672 399 37
694 892 18
160 732 7
908 56 89
977 118 19
109 995 1
157 468 21
467 686 13
369 581 64
104 56 48
518 679 41
965 359 90
460 955 55
219 545 10
678 968 61
986 786 79
273 128 64
403 151 17
303 248 26
457 317 60
86 729 28
707 313 55
397 609 41
845 60 44
288 632 72
56 879 25
77 238 79
47 536 84
78 528 82
775 414 31
129 16 36
462 817 33
720 957 55
23 453 47
728 993 47
465 652 44
333 998 40
591 171 25
55 727 56
395 530 72
394 268 65
66 703 93
847 638 6
772 384 69
499 51 34
399 436 56
285 942 63
86 39 26
929 150 12
917 264 81
624 404 73
333 784 53
400 888 12
195 897 84
666 460 41
601 703 70
666 517 59
478 220 17
718 275 69
774 368 10
932 983 6
235 787 3
755 938 90
715 970 29
412 773 17
403 889 24
843 118 65
320 791 66
621 126 25
965 380 5
58 108 45
872 620 16
776 324 85
203 310 21
675 727 24
706 440 77
305 382 25
696 928 76
650 270 92
933 217 67
219 829 43
393 132 96
224 865 66
54 549 43
76 674 18
50 91 5
361 787 59
119 395 23
366 491 26
80 338 87
175 80 54
132 637 98
557 983 40
939 103 70
604 960 48
886 70 34
663 953 85
127 56 5
501 148 10
711 502 5
905 711 84
524 639 41
180 410 87
409 602 36
583 360 49
774 326 91
513 243 31
585 444 64
639 452 73
599 651 25
13 492 39
529 971 99
259 333 76
593 17 54
700 962 38
826 40 84
482 802 61
393 691 73
997 559 42
912 550 88
178 892 80
134 518 16
897 129 29
62 956 16
285 177 77
479 857 35
109 187 60
890 713 4
804 645 34
51 59 32
284 403 18
212 707 14
924 161 60
322 602 59
13 819 33
56 829 41
212 731 15
218 380 98
5 348 94
58 140 21
336 837 19
740 212 57
962 605 50
368 830 63
261 361 66
317 762 69
853 35 17
107 719 33
761 385 93
666 399 95
850 696 55
727 936 24
103 180 28
587 988 33
942 54 7
962 52 83
596 364 3
624 799 94
860 261 1
624 754 24
929 781 62
33 265 97
653 761 23
940 698 78
294 639 68
312 102 13
371 832 71
43 437 50
359 548 35
642 490 27
394 263 4
850 692 52
638 629 52
900 397 57
787 157 32
584 716 93
301 118 3
201 379 96
837 864 99
157 492 39
717 362 23
512 955 4
690 492 66
337 468 9
176 632 32
10 834 74
178 482 1
185 427 93
336 996 5
889 971 2
598 341 11
540 124 93
10 106 78
413 661 2
581 608 9
644 829 93
763 757 82
457 136 95
556 949 34
47 188 67
413 478 39
827 134 86
596 567 50
821 336 28
70 664 95
538 827 65
430 815 85
315 433 72
574 503 85
728 617 5
130 205 100
373 244 34
603 832 42
855 826 35
578 869 7
82 558 5
578 700 98
784 858 42
353 65 6
658 355 87
828 861 4
983 713 68
48 382 6
666 227 31
267 339 29
147 987 74
374 494 23
551 217 23
944 592 20
826 324 10
810 365 45
448 368 8
666 22 37
745 323 56
536 329 44
774 916 46
437 706 48
786 465 48
5 705 93
607 889 93
589 449 46
847 870 87
152 374 7
295 900 46
653 809 2
747 625 41
285 544 14
471 675 91
17 803 36
57 442 15
137 224 60
815 194 49
468 387 71
268 734 63
964 427 22
342 628 7
735 441 37
638 391 76
927 806 86
338 715 64
239 562 74
373 501 26
130 30 20
75 709 78
282 199 30
608 357 59
26 847 93
201 908 31
846 703 64
272 444 39
213 125 28
254 721 6
173 216 100
426 552 49
146 112 64
158 446 22
953 536 76
233 140 6
89 584 72
674 198 59
176 617 47
489 917 36
27 369 11
868 186 58
541 570 46
558 342 28
23 425 79
236 562 64
907 11 5
724 109 62
193 5 9
969 637 79
598 600 31
144 792 42
865 370 99
282 886 100
656 286 6
748 552 16
308 7 90
436 852 64
269 995 54
728 360 21
434 536 59
750 717 62
419 879 96
965 737 17
396 886 81
967 911 64
450 816 87
476 918 25
201 843 43
449 156 42
532 291 47
915 543 61
133 938 81
86 952 59
137 126 6
296 477 91
445 44 14
840 57 66
170 178 49
759 809 87
914 494 25
326 140 17
96 558 83
694 841 87
889 262 26
491 927 19
289 750 29
544 64 24
556 300 47
72 271 80
718 594 46
119 824 99
648 166 64
713 176 17
923 722 34
667 103 30
755 365 80
53 499 66
468 743 99
496 820 38
512 363 69
414 368 99
177 157 4
277 541 22
578 183 68
152 848 96
358 916 18
903 606 27
810 255 82
950 486 65
505 213 44
820 480 3
734 693 46
648 163 78
345 960 95
156 691 20
927 669 5
648 877 25
696 644 35
18 265 61
678 995 15
43 707 70
789 712 21
32 785 68
635 346 1
13 70 43
721 303 34
9 901 80
970 383 1
285 254 28
203 320 53
522 770 22
108 29 1
591 950 78
873 777 19
607 898 57
783 286 5
39 350 83
566 550 28
130 216 79
458 469 70
92 230 68
470 164 38
984 934 68
577 968 90
141 107 58
60 139 66
207 61 1
431 851 80
946 844 40
523 104 85
133 847 27
441 826 57
398 657 91
944 975 97
351 9 81
596 899 53
336 695 24
260 168 70
510 82 58
98 291 100
715 471 21
301 771 49
663 357 91
942 283 88
404 15 92
940 513 72
247 857 15
479 518 10
928 553 76
417 280 64
537 729 21
112 281 76
935 417 27
403 59 11
684 838 62
669 70 60
289 945 37
748 717 20
981 904 20
850 701 7
771 392 67
226 552 2
5 436 83
269 297 38
422 146 67
802 845 97
583 319 96
28 532 30
893 544 80
365 914 98
594 482 100
305 576 72
73 255 57
85 532 82
854 639 32
49 450 4
474 47 72
201 744 85
38 343 43
235 212 2
797 617 90
876 410 64
338 487 60
605 318 19
933 555 98
181 640 32
911 344 61
337 753 97
607 167 62
592 388 15
772 347 92
839 128 23
950 103 98
450 669 14
971 46 22
132 965 93
232 461 9
370 392 73
545 816 15
16 909 3
563 350 37
571 777 95
370 689 22
613 247 93
471 694 15
110 648 54
246 894 42
266 384 22
714 142 13
390 66 38
193 41 65
279 419 7
482 666 40
84 245 74
747 949 96
35 233 83
915 863 5
913 503 92
212 112 72
481 460 61
61 18 80
802 525 19
210 866 64
520 640 42
792 387 31
974 531 55
98 746 9
90 392 97
135 143 29
60 692 13
335 232 16
587 673 18
671 612 1
864 15 25
299 437 26
907 382 19
619 151 75
101 284 84
353 215 95
15 720 6
102 202 34
37 731 95
468 562 16
232 225 22
27 961 2
20 776 94
862 817 30
631 549 73
988 34 56
379 405 83
264 210 100
800 357 68
182 268 73
464 595 43
937 152 56
587 424 78
13 328 64
211 126 91
430 26 36
729 47 20
305 820 16
356 340 32
287 338 41
91 852 77
781 399 23
801 546 16
328 193 45
718 951 50
392 158 8
493 340 69
668 286 17
722 878 29
466 740 56
643 759 12
297 734 29
530 968 82
589 400 64
840 685 39
32 621 12
805 822 100
333 592 63
438 492 65
405 891 45
667 230 50
614 371 53
741 75 79
983 619 93
363 548 50
528 707 31
565 522 24
236 517 26
480 502 68
722 865 10
487 365 86
235 355 92
11 690 91
496 50 90
514 213 100
630 769 7
347 160 61
402 855 22
346 244 64
675 167 18
729 503 57
27 491 52
708 171 49
574 937 24
568 430 58
907 476 28
716 241 74
822 910 80
634 57 85
74 956 74
376 90 2
122 766 46
861 620 42
545 905 72
549 889 8
278 437 17
83 648 3
534 728 21
672 300 52
319 140 96
193 936 62
900 952 54
40 211 40
24 39 95
903 417 37
189 322 15
631 388 1
128 746 7
45 443 54
893 38 6
497 527 46
769 197 25
551 198 81
781 865 16
899 753 54
815 736 72
983 717 25
593 682 7
429 919 38
762 720 49
728 297 6
294 147 41
507 785 58
161 183 13
218 67 37
907 724 47
221 257 14
804 363 54
401 73 80
499 698 7
639 606 22
588 461 82
784 459 69
932 335 4
68 617 10
346 386 17
147 162 2
848 427 3
844 924 19
347 687 34
793 493 91
846 247 23
860 898 2
764 998 10
864 664 82
180 978 33
677 599 4
79 909 30
74 818 24
707 900 75
518 197 36
489 879 31
124 899 41
262 528 96
444 311 1
894 371 47
904 159 31
577 686 74
928 886 88
827 520 43
920 571 49
258 6 35
55 126 5
110 771 19
922 394 7
367 184 48
541 388 15
237 72 26
819 171 42
36 736 8
148 23 58
121 988 100
435 426 36
351 926 70
234 280 61
463 924 38
679 608 62
107 350 44
833 818 51
157 774 21
531 485 20
471 299 68
47 887 86
310 267 30
989 374 27
466 86 27
116 501 73
907 776 28
252 285 81
31 746 53
694 64 82
584 492 40
642 560 11
90 940 63
119 762 42
684 291 44
50 640 24
703 297 60
795 133 88
983 267 55
633 142 53
715 804 71
314 561 90
612 406 54
7 14 31
646 340 50
806 357 92
635 114 91
436 375 31
642 754 16
654 997 39
791 870 18
382 187 68
852 921 19
536 208 94
503 951 22
527 601 86
397 975 10
645 267 61
115 849 62
403 773 3
437 480 37
101 751 19
37 896 67
144 713 18
227 522 9
759 145 90
139 927 15
748 853 27
784 643 82
331 306 26
203 464 82
303 832 84
923 8 12
951 11 70
981 514 54
78 67 60
448 962 44
401 335 24
836 256 87
171 518 89
579 675 23
883 190 19
661 240 86
818 201 87
172 163 96
159 316 22
472 766 40
958 459 49
774 713 92
971 287 81
417 6 72
502 489 77
47 89 12
584 990 50
137 198 84
322 808 69
109 389 9
189 313 71
125 458 56
526 969 12
833 451 36
785 369 86
58 554 87
649 727 39
107 206 16
21 556 61
2 455 95
32 302 85
930 832 18
65 893 5
791 395 60
859 482 55
190 405 56
902 166 44
138 878 5
576 19 37
228 242 94
585 795 66
263 478 79
670 913 1
517 188 58
256 885 60
865 663 70
705 65 45
155 885 58
861 391 61
108 992 6
388 220 76
505 217 5
440 721 47
