100 799
47 24 2
15 45 7
60 68 50
79 71 34
96 28 14
68 64 23
23 12 62
83 62 54
73 86 23
93 11 20
51 60 37
64 42 46
81 44 13
31 93 52
43 2 40
88 50 35
36 35 87
82 64 83
2 79 41
46 65 13
16 28 52
53 44 28
16 80 39
57 13 58
19 78 89
6 27 41
22 71 34
64 75 69
64 98 47
48 33 82
48 23 39
7 92 49
56 48 7
57 1 23
8 43 73
64 89 30
23 63 10
55 8 83
1 68 85
75 66 35
36 48 6
86 77 29
30 67 100
23 86 36
2 81 75
60 42 58
51 34 51
70 35 12
48 12 11
81 91 51
46 27 51
56 100 71
40 31 59
3 89 62
62 82 70
86 38 5
24 69 42
18 3 43
49 25 86
65 27 22
78 60 60
41 85 23
99 90 6
55 78 5
67 16 44
59 85 84
75 32 28
21 40 21
7 4 94
46 16 77
82 48 98
79 19 96
35 92 73
35 1 58
40 38 73
65 38 71
16 21 37
87 77 25
59 64 47
26 44 95
40 14 48
2 88 64
87 80 49
76 14 57
83 28 91
97 64 11
65 34 45
75 25 97
57 46 37
31 4 73
67 49 87
28 41 22
63 19 13
65 74 91
84 13 71
94 2 54
51 55 17
71 54 9
93 67 93
43 24 18
44 70 50
23 16 40
77 18 34
12 32 63
80 4 50
66 14 3
80 70 99
10 66 17
60 40 93
65 56 77
11 9 45
76 66 60
80 17 39
56 47 88
83 46 1
9 68 52
83 39 82
45 80 67
44 52 31
28 38 54
41 17 11
7 21 10
5 54 65
43 61 5
97 57 97
41 24 7
60 6 11
98 88 7
54 74 51
33 52 7
93 61 46
52 17 23
7 5 96
34 3 9
74 87 72
55 46 56
77 42 4
45 40 27
41 53 13
4 94 5
73 54 93
64 47 86
3 93 65
95 43 69
53 96 77
32 14 21
19 98 100
42 3 57
78 24 75
2 33 57
71 10 19
39 100 50
47 60 27
51 29 61
12 40 63
66 60 65
61 38 14
6 26 24
73 85 7
1 4 33
50 68 97
12 49 8
44 88 48
74 76 86
62 45 82
83 59 95
77 100 80
9 7 94
43 78 94
20 77 16
9 45 78
81 70 89
37 2 48
20 71 74
69 10 90
34 14 10
25 24 88
14 65 78
14 51 24
25 34 2
59 24 65
39 28 27
31 15 81
8 40 18
51 5 92
11 75 56
34 96 75
73 92 41
46 22 100
32 29 85
88 71 49
74 40 27
66 16 80
89 39 19
100 71 97
43 91 1
71 32 77
38 82 46
18 67 25
25 84 66
89 54 41
35 95 76
78 16 1
2 56 12
18 26 49
47 88 84
91 88 92
41 60 24
85 75 14
11 21 64
12 9 19
1 90 31
7 56 46
80 78 69
17 78 98
61 68 92
89 96 48
17 5 82
51 79 57
74 32 51
36 75 3
20 89 55
59 52 60
69 2 25
67 95 80
47 26 34
73 12 71
86 25 20
15 81 63
90 38 8
54 51 77
55 42 47
92 82 59
92 48 71
40 65 53
43 87 69
80 65 69
26 58 39
59 89 52
87 42 6
75 49 68
91 86 52
16 47 64
82 68 42
40 34 47
26 71 77
5 89 99
17 2 40
42 15 43
17 51 79
21 60 75
93 48 70
98 66 84
9 82 51
49 10 55
61 59 60
33 51 42
6 49 88
79 26 65
84 34 79
97 25 96
75 55 75
31 72 36
64 79 63
12 82 24
23 4 91
74 36 67
4 81 28
82 71 71
4 78 74
27 68 4
29 87 36
78 98 22
76 65 92
29 44 89
50 86 33
50 48 85
97 92 50
72 14 99
38 20 74
43 50 88
83 94 59
20 39 62
79 88 86
20 55 64
89 41 18
62 33 59
89 45 22
30 66 61
63 90 46
56 74 44
96 85 24
27 24 70
35 99 5
58 87 84
51 32 82
67 84 3
3 61 68
98 93 70
64 44 43
83 7 54
34 32 13
96 13 41
99 79 25
62 21 46
8 32 46
18 34 74
95 19 8
90 51 29
37 52 12
30 65 45
15 11 28
23 29 40
14 3 30
71 18 31
97 62 35
27 38 43
8 46 92
17 97 66
67 33 96
11 70 73
65 84 57
54 86 81
14 20 11
4 50 38
86 7 1
91 47 68
43 85 18
57 33 46
89 67 92
36 78 69
37 43 98
9 34 64
69 58 9
74 54 18
52 20 95
33 71 1
45 9 81
66 89 5
42 8 22
2 65 44
16 48 69
38 13 60
95 15 43
47 31 4
73 15 91
62 65 59
82 70 95
43 64 11
86 84 4
27 52 65
78 40 2
9 4 74
67 18 94
17 48 73
4 25 12
22 20 33
58 55 13
37 64 67
24 33 40
57 22 58
94 29 92
40 12 67
25 75 30
8 64 45
39 71 33
7 70 44
45 25 69
16 18 11
50 25 91
28 7 30
70 54 2
59 22 96
86 65 1
82 90 1
84 79 24
100 35 78
91 75 97
30 82 68
79 22 4
13 65 86
20 64 45
72 57 100
41 44 60
12 73 95
27 70 98
34 74 12
66 63 65
76 19 79
85 52 28
78 2 83
74 16 78
43 45 71
26 28 1
50 9 19
19 100 60
24 22 70
79 36 88
99 72 84
87 13 4
61 12 98
68 41 69
47 53 68
48 98 44
36 99 43
6 91 29
79 35 46
35 100 14
24 43 17
26 77 29
49 41 73
81 56 15
45 26 51
19 49 44
55 10 15
3 5 95
35 44 92
18 5 48
39 36 54
6 22 40
72 60 63
86 51 30
82 88 91
99 98 37
31 60 71
88 49 99
84 57 12
41 93 7
75 40 39
26 52 37
89 92 33
70 72 83
88 100 31
97 70 7
52 57 62
15 58 82
15 75 75
46 75 17
63 61 60
22 36 36
28 24 90
45 38 18
86 89 41
71 47 85
77 51 93
66 13 47
45 44 58
16 38 78
63 4 58
32 54 61
94 85 3
2 89 45
81 100 83
87 41 34
54 72 24
38 9 20
5 57 56
22 39 69
66 4 32
89 42 57
6 77 45
74 65 77
53 26 96
61 99 58
41 99 15
47 6 9
88 9 21
13 75 48
72 55 78
97 88 58
97 71 82
11 93 47
95 26 89
61 77 50
84 28 19
68 9 83
27 15 98
39 10 83
95 37 22
40 48 9
19 29 45
50 24 23
60 85 15
56 38 6
24 71 51
43 58 17
24 100 37
51 7 58
36 69 62
75 43 55
70 32 5
8 75 3
55 95 9
100 97 44
73 46 63
92 26 66
64 9 7
53 43 84
61 80 42
32 43 58
37 80 29
35 65 14
56 67 56
69 39 5
40 70 61
96 6 73
40 95 96
56 88 67
76 89 57
27 63 17
83 31 10
49 2 31
43 4 26
71 57 10
38 100 89
79 4 82
21 33 12
32 91 89
26 54 35
9 75 57
34 8 31
33 78 84
78 9 6
70 33 47
55 62 69
28 67 14
10 4 43
53 51 93
68 26 78
22 89 75
17 68 21
92 59 100
17 35 86
99 74 75
68 99 47
21 74 82
70 100 40
79 61 10
86 12 31
66 72 30
59 79 7
33 5 80
53 100 23
20 15 75
48 91 71
96 7 77
53 28 13
14 28 84
95 56 72
26 33 5
23 17 7
92 39 9
93 30 17
62 12 87
84 82 18
60 48 55
23 89 20
25 32 51
78 56 72
98 2 26
26 3 51
60 72 46
69 8 82
15 61 66
29 31 11
60 52 40
47 96 24
30 22 63
67 55 34
51 80 96
97 55 17
64 74 64
39 88 70
99 64 20
99 61 67
83 79 61
58 60 56
11 92 62
97 99 65
23 47 37
85 93 99
26 95 27
75 37 7
40 74 45
80 84 52
47 87 41
43 41 88
76 64 69
99 92 62
51 56 1
3 81 98
5 42 5
